Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Adj Close,AAPL_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Adj Close,AMZN_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Adj Close,MSFT_Volume,SPX_Open,SPX_High,SPX_Low,SPX_Close,SPX_Adj Close,SPX_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Adj Close,IRX_Open,IRX_High,IRX_Low,IRX_Close,IRX_Adj Close
2021-06-25,133.460007,133.889999,132.809998,133.110001,131.568222,70783700.0,173.199997,173.240997,169.709,170.072998,170.072998,78820000.0,266.230011,267.25,264.76001,265.019989,260.356873,25611100.0,4274.450195,4286.120117,4271.160156,4280.700195,4280.700195,7341450000.0,16.040001,16.17,15.21,15.62,15.62,0.043,0.043,0.043,0.043,0.043
2021-06-28,133.410004,135.25,133.350006,134.779999,133.218857,62111300.0,170.800003,172.399994,170.675507,172.194504,172.194504,44856000.0,266.190002,268.899994,265.910004,268.720001,263.991699,19590000.0,4284.899902,4292.140137,4274.669922,4290.609863,4290.609863,4147890000.0,16.07,16.459999,15.39,15.76,15.76,0.043,0.043,0.04,0.04,0.04
2021-06-29,134.800003,136.490005,134.350006,136.330002,134.7509,64556100.0,171.940994,172.801498,171.151505,172.406998,172.406998,41968000.0,268.869995,271.649994,267.980011,271.399994,266.624573,19937800.0,4293.209961,4300.52002,4287.040039,4291.799805,4291.799805,3707150000.0,15.69,16.309999,14.1,16.02,16.02,0.045,0.045,0.038,0.04,0.04
2021-06-30,136.169998,137.410004,135.869995,136.960007,135.373627,63261400.0,172.052994,173.580002,171.75,172.007996,172.007996,48080000.0,270.690002,271.359985,269.600006,270.899994,266.133362,21656500.0,4290.649902,4302.430176,4287.959961,4297.5,4297.5,4266040000.0,16.18,17.309999,15.58,15.83,15.83,0.04,0.04,0.04,0.04,0.04
2021-07-01,136.600006,137.330002,135.759995,137.270004,135.680038,52485800.0,171.730499,172.850006,170.470993,171.648499,171.648499,40742000.0,269.609985,271.839996,269.600006,271.600006,266.821075,16725300.0,4300.72998,4320.660156,4300.72998,4319.939941,4319.939941,3788230000.0,15.62,16.01,15.31,15.48,15.48,0.04,0.04,0.038,0.04,0.04
2021-07-02,137.899994,140.0,137.75,139.960007,138.338882,78852600.0,172.582001,175.585999,171.845993,175.548996,175.548996,63388000.0,272.820007,278.0,272.5,277.649994,272.764587,26458000.0,4326.600098,4355.430176,4326.600098,4352.339844,4352.339844,3225840000.0,15.53,15.54,14.25,15.07,15.07,0.038,0.04,0.038,0.038,0.038
2021-07-05,138.9850005,141.574997,138.91000350000002,140.9900055,139.3569485,93517200.0,174.543747,179.9300005,174.14799499999998,179.6679995,179.6679995,99142000.0,275.42500299999995,278.6849975,273.399994,277.654999,272.769516,29011800.0,4341.5300295,4355.945068499999,4320.485107500001,4347.939941500001,4347.939941500001,3767705000.0,15.649999999999999,16.7400005,14.99,15.7550005,15.7550005,0.039,0.041499999999999995,0.039,0.039,0.039
2021-07-06,140.070007,143.149994,140.070007,142.020004,140.375015,108181800.0,176.505493,184.274002,176.449997,183.787003,183.787003,134896000.0,278.029999,279.369995,274.299988,277.660004,272.774445,31565600.0,4356.459961,4356.459961,4314.370117,4343.540039,4343.540039,4309570000.0,15.77,17.940001,15.73,16.440001,16.440001,0.04,0.043,0.04,0.04,0.04
2021-07-07,143.539993,144.889999,142.660004,144.570007,142.895477,104911600.0,185.869003,186.710007,183.945496,184.828995,184.828995,106562000.0,279.399994,280.690002,277.149994,279.929993,275.004486,23260000.0,4351.009766,4361.879883,4329.790039,4358.129883,4358.129883,4037380000.0,16.43,17.639999,16.08,16.200001,16.200001,0.043,0.045,0.04,0.043,0.043
2021-07-08,141.580002,144.059998,140.669998,143.240005,141.580902,105575500.0,182.177994,187.999496,181.056,186.570496,186.570496,103612000.0,276.899994,278.730011,274.869995,277.420013,272.538605,24618600.0,4321.069824,4330.879883,4289.370117,4320.819824,4320.819824,4347500000.0,17.74,21.290001,17.74,19.0,19.0,0.043,0.043,0.043,0.043,0.043
2021-07-09,142.75,145.649994,142.649994,145.110001,143.429199,99890800.0,186.126007,187.399994,184.669998,185.966995,185.966995,74964000.0,275.720001,278.049988,275.320007,277.940002,273.0495,23916700.0,4329.379883,4371.600098,4329.379883,4369.549805,4369.549805,3531120000.0,17.879999,18.129999,16.08,16.18,16.18,0.043,0.043,0.04,0.043,0.043
2021-07-12,146.210007,146.320007,144.0,144.5,142.826263,76299700.0,187.199997,187.864502,184.839493,185.927505,185.927505,51432000.0,279.160004,279.769989,276.579987,277.320007,272.440369,18931700.0,4372.410156,4386.680176,4364.029785,4384.629883,4384.629883,3384460000.0,16.85,17.52,16.139999,16.17,16.17,0.043,0.043,0.04,0.043,0.043
2021-07-13,144.029999,147.460007,143.630005,145.639999,143.953079,100827100.0,185.104996,188.654007,183.565994,183.867996,183.867996,76918000.0,277.519989,282.850006,277.390015,280.980011,276.036041,26120100.0,4381.069824,4392.370117,4366.919922,4369.209961,4369.209961,3695430000.0,16.389999,17.23,15.94,17.120001,17.120001,0.045,0.05,0.043,0.045,0.045
2021-07-14,148.100006,149.570007,147.679993,149.149994,147.422409,127050800.0,185.442505,185.882996,183.041504,184.084,184.084,65932000.0,282.350006,283.660004,280.549988,282.51001,277.539063,23113700.0,4380.109863,4393.680176,4362.359863,4374.299805,4374.299805,4006370000.0,17.34,17.51,15.95,16.33,16.33,0.045,0.045,0.045,0.045,0.045
2021-07-15,149.240005,150.0,147.089996,148.479996,146.760178,106820300.0,184.710007,184.770004,181.046005,181.559998,181.559998,63706000.0,282.0,282.51001,279.829987,281.029999,276.085114,22604200.0,4369.02002,4369.02002,4340.700195,4360.029785,4360.029785,3905230000.0,16.700001,18.09,16.559999,17.01,17.01,0.043,0.043,0.038,0.038,0.038
2021-07-16,148.460007,149.759995,145.880005,146.389999,144.694382,93251400.0,181.665497,182.302994,178.522995,178.681503,178.681503,80874000.0,282.070007,284.100006,279.459991,280.75,275.810028,26186800.0,4367.430176,4375.089844,4322.529785,4327.160156,4327.160156,3985700000.0,16.799999,18.700001,16.030001,18.450001,18.450001,0.04,0.04,0.038,0.038,0.038
2021-07-19,143.75,144.070007,141.669998,142.449997,140.800049,121434600.0,176.628998,177.510498,174.957993,177.479507,177.479507,75692000.0,278.929993,280.369995,274.450012,277.01001,272.135864,32935600.0,4296.399902,4296.399902,4233.129883,4258.490234,4258.490234,5157660000.0,19.610001,25.09,19.27,22.5,22.5,0.038,0.04,0.035,0.04,0.04
2021-07-20,143.460007,147.100006,142.960007,146.149994,144.457153,96350000.0,178.365997,179.600006,175.899994,178.6595,178.6595,65114000.0,278.029999,280.970001,276.26001,279.320007,274.405212,26259700.0,4265.109863,4336.839844,4262.049805,4323.060059,4323.060059,4438270000.0,20.889999,22.969999,19.370001,19.73,19.73,0.045,0.045,0.043,0.045,0.045
2021-07-21,145.529999,146.130005,144.630005,145.399994,143.715851,74993500.0,178.819,179.322495,177.182007,179.259995,179.259995,46380000.0,278.899994,281.519989,277.290009,281.399994,276.448578,24364300.0,4331.129883,4359.700195,4331.129883,4358.689941,4358.689941,3810280000.0,19.73,19.82,17.809999,17.91,17.91,0.045,0.045,0.045,0.045,0.045
2021-07-22,145.940002,148.199997,145.809998,146.800003,145.09964,77338200.0,179.361496,182.001007,179.113495,181.901505,181.901505,65308000.0,283.839996,286.420013,283.420013,286.140015,281.105194,23384100.0,4361.27002,4369.870117,4350.060059,4367.47998,4367.47998,3358300000.0,17.59,18.450001,17.4,17.690001,17.690001,0.045,0.045,0.038,0.043,0.043
2021-07-23,147.550003,148.720001,146.919998,148.559998,146.839233,71447400.0,182.0,183.305496,181.102005,182.832001,182.832001,48726000.0,287.369995,289.98999,286.5,289.670013,284.57312,22768100.0,4381.200195,4415.180176,4381.200195,4411.790039,4411.790039,4540070000.0,16.98,17.48,16.33,17.200001,17.200001,0.04,0.045,0.038,0.045,0.045
2021-07-26,148.270004,149.830002,147.699997,148.990005,147.264267,72434100.0,183.658493,185.604004,182.362503,184.990997,184.990997,58002000.0,289.0,289.690002,286.640015,289.049988,283.963989,23176100.0,4409.580078,4422.72998,4405.450195,4422.299805,4422.299805,4275630000.0,18.67,19.389999,17.530001,17.58,17.58,0.04,0.045,0.04,0.04,0.04
2021-07-27,149.119995,149.210007,145.550003,146.770004,145.069992,104818600.0,184.925003,184.925003,179.307495,181.319504,181.319504,82638000.0,289.429993,289.579987,282.950012,286.540009,281.498169,33604100.0,4416.379883,4416.379883,4372.509766,4401.459961,4401.459961,4241950000.0,18.620001,20.440001,18.25,19.360001,19.360001,0.045,0.045,0.04,0.045,0.045
